time,users,connected 
0,95,93 
10,199,104 
20,302,105 
30,415,107 
40,480,65 
50,573,93 
60,708,119 
70,823,104 
80,892,70 
90,998,110 
100,1096,93 
110,1192,94 
120,1313,102 
130,1423,108 
140,1490,70 
150,1561,65 
160,1701,136 
170,1785,87 
180,1901,62 
190,1974,-1 
200,2049,18 
210,2138,10 
220,2265,92 
230,2398,27 
240,2509,-52 
250,2631,-55 
260,2703,-20 
270,2845,-14 
280,2965,-9 
290,3115,25 
300,3200,0 
310,3272,8 
320,3377,6 
330,3389,-123 
340,3389,-190 
350,3389,-278 
360,3389,-313 
370,3389,-114 
380,3389,-252 
390,3389,-261 
400,3389,-176 
407,3389,-115 
