time,cpu@tsung_controller@ip-172-31-29-214 
0,2.1124215250477487 
10,2.1124215250477487 
20,2.1124215250477487 
30,2.1124215250477487 
40,2.620967741935484 
50,5.120481927710843 
60,5.120481927710843 
70,5.120481927710843 
80,5.120481927710843 
90,5.120481927710843 
100,5.120481927710843 
110,5.120481927710843 
120,5.120481927710843 
130,5.177664974619289 
140,5.650857719475278 
150,6.451612903225806 
160,6.619859578736209 
170,8.291708291708291 
180,8.829365079365079 
190,9.424603174603174 
200,9.69030969030969 
210,9.69030969030969 
220,9.69030969030969 
230,9.758551307847082 
240,12.974051896207584 
250,13.201970443349753 
260,13.201970443349753 
270,13.925327951564077 
280,14.329268292682926 
290,14.329268292682926 
300,15.731462925851702 
310,15.731462925851702 
320,15.731462925851702 
330,15.731462925851702 
340,15.731462925851702 
350,15.731462925851702 
360,15.731462925851702 
370,15.731462925851702 
380,15.731462925851702 
390,15.731462925851702 
400,15.731462925851702 
407,15.731462925851702 
