time,size_sent,size_rcv 
0,104.01796875,104.803125 
10,90.92109375,91.18046875 
20,89.69609375,89.2109375 
30,150.42265625,158.8546875 
40,212.74453125,212.76796875 
50,240.08828125,245.84609375 
60,294.35625,298.0765625 
70,340.6359375,391.06953125 
80,382.4359375,376.68515625 
90,468.25859375,475.57734375 
100,412.05,423.3609375 
110,503.55234375,516.53984375 
120,570.4203125,591.33984375 
130,626.584375,638.8046875 
140,641.36484375,644.09921875 
150,680.50546875,686.22109375 
160,760.18125,791.7921875 
170,714.95390625,700.95625 
180,855.50234375,881.93125 
190,878.76953125,895.43671875 
200,860.55390625,869.44453125 
210,909.84140625,921.85546875 
220,901.58828125,924.96171875 
230,950.63046875,965.6015625 
240,1068.28828125,1065.9265625 
250,1123.15234375,1161.090625 
260,1184.70859375,1216.38515625 
270,1193.47265625,1190.91875 
280,1180.07265625,1149.05390625 
290,1178.7375,1220.24453125 
300,1224.3,1182.44140625 
310,1245.8796875,998.16171875 
320,1286.903125,1046.23515625 
330,1009.37265625,1027.63046875 
340,939.11875,675.63046875 
350,830.490625,651.98046875 
360,614.1640625,383.75859375 
370,400.4546875,192.57109375 
380,384.53359375,167.92734375 
390,372.74140625,198.89921875 
