time,users_count,finish_users_count 
0,105,0 
10,213,0 
20,302,0 
30,411,26 
40,552,85 
50,697,135 
60,877,183 
70,1079,250 
80,1275,354 
90,1519,495 
100,1765,635 
110,2038,779 
120,2296,965 
130,2572,1159 
140,2868,1372 
150,3237,1601 
160,3593,1836 
170,3949,2097 
180,4296,2392 
190,4682,2717 
200,5058,3022 
210,5512,3327 
220,5934,3676 
230,6377,4063 
240,6887,4432 
250,7376,4832 
260,7872,5211 
270,8401,5644 
280,8963,6092 
290,9512,6568 
300,10083,7002 
310,10660,7452 
320,11245,7947 
330,11312,8502 
340,11312,9094 
350,11312,9636 
360,11312,10120 
370,11312,10398 
