time,size_sent,size_rcv 
0,62.59921875,61.59609375 
10,169.65234375,165.06796875 
20,240.7609375,236.28359375 
30,396.0625,397.7265625 
40,618.93046875,619.81953125 
50,805.51875,809.00703125 
60,1081.4921875,1086.66328125 
70,1439.36640625,1447.81796875 
80,1816.61015625,1840.6078125 
90,2228.35234375,2209.4578125 
100,2635.853125,2587.44921875 
110,3071.240625,3010.846875 
120,3523.41796875,3435.02421875 
130,4015.9203125,3922.10390625 
140,4511.3796875,4418.63125 
150,5028.8328125,4900.1203125 
160,5537.58046875,5388.5015625 
170,6065.31171875,5909.20703125 
180,6631.41953125,6499.6578125 
190,7189.9,7115.73984375 
200,7772.26171875,7706.60859375 
210,8335.53515625,8323.16328125 
220,8871.96328125,8897.75546875 
230,9431.66015625,9553.00078125 
240,10022.0375,10223.70078125 
250,10647.62421875,10944.16015625 
260,11260.03671875,11639.24453125 
270,11871.3421875,12351.56171875 
280,12486.0171875,13081.7 
290,13108.34296875,13843.1140625 
300,13671.3890625,14568.971875 
310,14207.85078125,15145.7140625 
320,14722.9828125,15721.890625 
330,15097.8546875,16096.34765625 
340,15390.10078125,16447.43828125 
350,15683.41875,16809.98203125 
360,15930.359375,17099.89453125 
370,16105.3875,17338.53671875 
380,16221.98359375,17553.46171875 
390,16306.2390625,17746.53515625 
400,16358.5125,17889.60234375 
410,16375.29453125,17979.68203125 
420,16383.7984375,18060.74375 
430,16390.98515625,18140.5203125 
440,16393.7875,18220.296875 
450,16398.9171875,18300.0734375 
