time,users_count,finish_users_count 
0,10.3,0 
10,9.1,0 
20,10.5,0 
30,14.1,2.4 
40,12.7,4.4 
50,14.6,5.5 
60,18,6.2 
70,19.6,7.2 
80,20.4,12.1 
90,23.1,13.4 
100,27.9,11.7 
110,21.9,17.4 
120,29,18.3 
130,31.3,19.7 
140,31.4,22.3 
150,30.7,22.7 
160,35.2,27 
170,36.4,24 
180,39.4,28 
190,40.1,28.8 
200,40.3,28.1 
210,42.6,32.7 
220,43.8,35.8 
230,45.1,34.2 
240,47.1,36.3 
250,47.5,39.6 
260,47.2,39.2 
270,52.1,44.7 
280,52,41.8 
290,53.7,44.1 
300,59.4,43.4 
310,59.9,49.2 
320,56.3,48.5 
330,6.9,55.4 
340,0,58.7 
350,0,55 
360,0,43.2 
370,0,28.9 
380,0,29.8 
390,0,30.8 
400,0,27.7 
407,0,11.4 
