time,users_count,finish_users_count 
0,8.6,0 
10,11.3,0 
20,10.3,0 
30,14.5,2 
40,13.6,4.7 
50,13.5,6.4 
60,19.6,5.9 
70,20.3,6.7 
80,20.1,10.4 
90,22.5,10.2 
100,23.1,15 
110,22.4,17.3 
120,28.9,16.7 
130,28.4,15.5 
140,30.8,20.6 
150,31.2,19.4 
160,36.5,20.9 
170,36.6,22.1 
180,36.7,26.6 
190,39,28.9 
200,38.7,31.8 
210,39.9,34 
220,45.6,34.5 
230,44.7,35.3 
240,45.5,37.1 
250,47.2,40.8 
260,52.6,39.8 
270,52,44.7 
280,52.8,43.6 
290,52.7,46.3 
300,55,48.2 
310,59.2,47.5 
320,56.6,50.4 
330,5.1,39.7 
340,0,52 
350,0,56.9 
360,0,52.8 
370,0,30.9 
380,0,35.8 
390,0,29.2 
400,0,25.4 
410,0,9.4 
420,0,0 
430,0,0 
440,0,0 
450,0,0 
460,0,0 
467,0,0.1 
