time,200,500,302 
0,1,,0.9 
10,0.8,,0.8 
20,0.8,,1.4 
30,2.9,,1.9 
40,5.5,,2.6 
50,8.9,,3.7 
60,11.1,,4.5 
70,13.8,,3.9 
80,21.6,,5.8 
90,22.7,,7.2 
100,25.3,,6.3 
110,24.6,,7.6 
120,35.4,,8.6 
130,34.7,,9.6 
140,39.1,,11 
150,42.2,,12.8 
160,45.7,,16 
170,52,,19.5 
180,64.8,,20.5 
190,74.5,,23.7 
200,75.6,0.4,8 
210,79.3,1,5.9 
220,90.6,5.1,7 
230,74.8,6.2,8.1 
240,40.2,0,9.3 
247,9.2,0,1.9 
