time,200,500,302 
0,1.2,,1.4 
10,1.4,,0.8 
20,0.8,,1 
30,2.8,,1.4 
40,6.4,,1.7 
50,7.1,,3.8 
60,11.9,,3.8 
70,7.8,,4 
80,17.6,,4.9 
90,15.6,,5.6 
100,26.3,,7.2 
110,24.2,,7.9 
120,31.3,,9.3 
130,30.6,,7.5 
140,41.5,,10.4 
150,45.7,,11.9 
160,48.4,,14.6 
170,51.6,1,18.1 
180,59.2,0.6,20.3 
190,69.6,1.3,22.9 
200,87,2.3,25.7 
210,101.4,7.2,28.6 
220,108.1,13.5,32.8 
230,107.5,21.7,36 
240,109.1,10.2,17.4 
250,107.9,19,11.8 
260,109.6,37.2,12.9 
270,106.3,28.7,18 
280,64.1,2.7,20.6 
290,19.9,0.3,5.7 
294,0,0,0 
