time,200,500,302 
0,12,,14 
10,26,,22 
20,34,,32 
30,62,,46 
40,126,,63 
50,197,,101 
60,316,,139 
70,394,,179 
80,570,,228 
90,726,,284 
100,989,,356 
110,1231,,435 
120,1544,,528 
130,1850,,603 
140,2265,,707 
150,2722,,826 
160,3206,,972 
170,3722,10,1153 
180,4314,16,1356 
190,5010,29,1585 
200,5880,52,1842 
210,6894,124,2128 
220,7975,259,2456 
230,9050,476,2816 
240,10141,578,2990 
250,11220,768,3108 
260,12316,1140,3237 
270,13379,1427,3417 
280,14020,1454,3623 
290,14219,1457,3680 
294,14219,1457,3680 
