time,502,200,500,302 
110,79,802,,369 
120,202,921,,413 
130,559,977,,428 
140,806,1092,,467 
150,1142,1170,1,499 
160,1514,1275,10,546 
170,1999,1367,17,601 
180,2545,1483,31,655 
190,3297,1564,40,707 
200,4119,1665,49,753 
210,5186,1727,57,791 
220,6304,1826,73,837 
230,7543,1876,87,869 
240,8828,1934,91,896 
250,9925,1996,100,933 
260,11034,2058,115,957 
270,12171,2110,126,978 
280,12775,2146,137,1002 
290,13473,2191,147,1026 
300,14234,2222,157,1065 
310,14936,2254,165,1095 
320,15228,2286,176,1129 
330,15276,2318,178,1163 
340,15276,2356,178,1195 
