time,users_count,finish_users_count 
0,1,0 
10,0.6,0 
20,1.7,0 
30,1.6,0.2 
40,3.5,0.5 
50,2.7,0.3 
60,3.1,0.9 
70,4,0.9 
80,5.4,2.4 
90,4.1,1.1 
100,5.5,3 
110,6.5,2.6 
120,7.1,3.8 
130,6.6,3.7 
140,8.9,3.9 
150,10.4,4.8 
160,14.5,6.4 
170,15.4,5.5 
180,15.8,8 
190,21.3,9.3 
200,19,12.6 
210,25.5,11.6 
220,24.4,13.5 
230,30.2,13.8 
240,31.2,20.7 
250,36.1,17.4 
260,40.3,22.3 
270,43,23.9 
280,38.7,25.1 
290,45,33.5 
300,51.2,35.2 
310,48,32.9 
320,51.4,38.7 
330,57.6,41.9 
340,57.6,43.5 
350,59.2,47.1 
360,57.7,44.5 
370,63.6,48.9 
380,71.9,37.4 
390,66.1,47.7 
400,66.9,57.9 
410,75,64.1 
420,79.6,66.8 
430,79.2,61.5 
440,19.8,75.6 
450,0,80.7 
460,0,66.4 
470,0,70.1 
480,0,33.1 
