time,recvpackets@tsung_controller@ip-172-31-17-202 
10,92 
20,92 
30,130 
40,220 
50,357 
60,360 
70,810 
80,810 
90,810 
100,810 
110,960 
120,1076 
130,1259 
140,1259 
150,1555 
160,1849 
170,2138 
180,2169 
190,2844 
200,3533 
210,3774 
220,3985 
230,4558 
240,5112 
250,6168 
260,6380 
270,7516 
280,7865 
290,8413 
300,9904 
310,10552 
320,10997 
330,12546 
340,14049 
350,14129 
360,14337 
370,15698 
380,16797 
390,17374 
400,17374 
410,18446 
420,18667 
430,19534 
440,19534 
450,19534 
460,19534 
470,19534 
480,19534 
