time,users,connected 
0,10,10 
10,16,6 
20,33,17 
30,47,13 
40,77,30 
50,101,23 
60,123,20 
70,154,32 
80,185,29 
90,214,28 
100,241,23 
110,278,35 
120,311,39 
130,349,25 
140,390,37 
150,446,67 
160,527,78 
170,628,97 
180,705,74 
190,827,117 
200,889,69 
210,1027,128 
220,1137,113 
230,1300,135 
240,1411,64 
250,1594,22 
260,1772,115 
270,1963,51 
280,2105,125 
290,2216,87 
300,2377,110 
310,2530,99 
320,2663,106 
330,2812,185 
340,2953,159 
350,3071,22 
360,3214,113 
370,3362,93 
380,3698,-83 
390,3880,45 
400,3984,55 
410,4078,93 
420,4217,37 
430,4387,73 
440,4416,-375 
450,4416,-481 
460,4416,-396 
470,4416,-507 
480,4416,-140 
