time,502,200,500,302 
90,217,2205,2,1521 
100,621,2500,16,1695 
110,961,2772,24,1902 
120,1286,3058,34,2112 
130,1791,3332,80,2330 
140,2309,3589,124,2561 
150,2762,3859,164,2771 
160,3436,4130,227,2967 
170,4165,4379,297,3180 
180,4941,4621,366,3423 
190,5740,4879,426,3654 
200,6525,5121,511,3883 
210,7557,5318,584,4146 
220,8575,5523,669,4377 
230,9651,5732,752,4623 
240,10789,5944,864,4832 
250,12079,6141,962,5047 
260,13431,6341,1069,5278 
270,14801,6510,1168,5503 
280,16134,6704,1271,5721 
290,17590,6896,1389,5952 
300,19241,7081,1514,6161 
310,20915,7271,1620,6397 
320,22621,7440,1741,6642 
330,23462,7658,1869,6801 
340,24000,7881,2051,6928 
350,24553,8108,2230,7038 
360,24796,8335,2393,7212 
370,24796,8453,2675,7483 
380,24796,8524,2899,7839 
390,24796,8594,3137,8134 
400,24796,8645,3197,8442 
410,24796,8650,3197,8553 
412,24796,8650,3197,8558 
