time,users,connected 
0,78,75 
10,195,115 
20,279,86 
30,401,117 
40,514,119 
50,604,90 
60,747,128 
70,854,93 
80,949,102 
90,1056,-32 
100,1189,-45 
110,1292,7 
120,1403,-17 
130,1512,10 
140,1619,-14 
150,1733,5 
160,1833,-5 
170,1959,10 
180,2065,1 
190,2154,-13 
200,2205,-3 
210,2315,29 
220,2406,-23 
230,2526,14 
240,2655,6 
250,2766,5 
260,2829,-21 
270,2925,12 
280,3023,-18 
290,3066,4 
300,3226,15 
310,3232,-21 
320,3313,25 
330,3316,-21 
340,3316,-18 
350,3316,-22 
360,3316,-212 
370,3316,30 
380,3316,-65 
390,3316,-69 
400,3316,-219 
410,3316,-62 
420,3316,-20 
430,3316,-47 
440,3316,-35 
450,3316,-42 
