time,users,connected 
0,78,75 
10,195,190 
20,279,276 
30,401,393 
40,513,512 
50,604,602 
60,747,730 
70,853,823 
80,949,925 
90,1055,893 
100,1186,848 
110,1292,855 
120,1403,838 
130,1512,848 
140,1618,834 
150,1727,839 
160,1828,834 
170,1957,844 
180,2059,845 
190,2152,832 
200,2200,829 
210,2315,858 
220,2403,835 
230,2526,849 
240,2655,855 
250,2766,860 
260,2827,839 
270,2923,851 
280,3015,833 
290,3055,837 
300,3220,852 
310,3229,831 
320,3301,856 
330,2892,835 
340,2366,817 
350,1852,795 
360,1376,583 
370,1087,613 
380,772,548 
390,516,479 
400,270,260 
410,201,198 
420,179,178 
430,133,131 
440,100,96 
450,56,54 
