time,size_sent,size_rcv 
0,88.53671875,88.39140625 
10,179.509375,178.46796875 
20,255.1,254.09140625 
30,427.4,433.37109375 
40,615.5015625,624.86484375 
50,849.3,864.6078125 
60,1125.821875,1149.3046875 
70,1449.02734375,1507.5390625 
80,1819.6859375,1881.6265625 
90,2221.42578125,2277.58125 
100,2693.19921875,2771.3796875 
110,3170.78359375,3254.121875 
120,3733.7578125,3835.04296875 
130,4353.7328125,4467.828125 
140,4996.7890625,5119.71171875 
150,5669.0484375,5801.59296875 
160,6413.92578125,6558.12890625 
170,7150.7265625,7321.66796875 
180,7931.23671875,8093.20234375 
190,8778.778125,8950.103125 
200,9653.5015625,9780.22265625 
210,10527.0265625,10703.49375 
220,11499.18125,11638.546875 
230,12448.95546875,12602.86171875 
240,13452.46171875,13591 
250,14521.5296875,14629.0453125 
260,15550.27421875,15645.04921875 
270,16667.95703125,16685.71015625 
280,17737.36484375,17747.73515625 
290,18875.075,18820.13828125 
300,20024.68515625,19917.69921875 
310,21224.1375,21017.53984375 
320,22345.6640625,22081.00234375 
330,23198.5796875,23069.32890625 
340,23965.22890625,23852.96640625 
350,24700.0640625,24582.33125 
360,25261.275,25022.16171875 
370,25664.8625,25381.096875 
380,26071.6015625,25677.0609375 
390,26457.70546875,25952.9890625 
400,26728.42734375,26061.63515625 
407,26817.72578125,26073.71171875 
