time,502,200,500,302 
110,12,438,329,279 
120,47,470,449,318 
130,223,502,566,341 
140,413,519,681,367 
150,694,538,791,383 
160,846,567,881,415 
170,1040,584,992,433 
180,1250,608,1107,452 
190,1440,654,1221,494 
200,1612,671,1327,504 
210,1747,700,1434,533 
220,1860,718,1527,557 
230,1915,740,1616,598 
240,1915,753,1707,638 
250,1915,768,1792,696 
260,1915,780,1858,740 
270,1915,793,1923,782 
280,1915,805,2006,857 
290,1915,821,2068,921 
300,1915,836,2112,955 
310,1915,852,2130,969 
320,1915,883,2131,982 
324,1915,889,2131,982 
