time,freemem@tsung_controller@ip-172-31-27-7 
0,3516.00390625 
10,3517.078125 
20,3517.10546875 
30,3516.875 
40,3515.06640625 
50,3513.7578125 
60,3510.73828125 
70,3509.015625 
80,3508.9296875 
90,3507.48046875 
100,3505.40625 
110,3504.3828125 
120,3503.9375 
130,3499.5390625 
140,3499.234375 
150,3498.0 
160,3497.43359375 
170,3496.4453125 
180,3487.93359375 
190,3485.9921875 
200,3476.82421875 
210,3468.6015625 
220,3468.00390625 
230,3468.10546875 
240,3468.171875 
247,3468.546875 
