time,cpu@tsung_controller@ip-172-31-28-236 
0,1.2023259398705843 
10,1.2023259398705843 
20,1.2023259398705843 
30,1.2023259398705843 
40,1.2023259398705843 
50,1.2023259398705843 
60,1.2023259398705843 
70,1.2023259398705843 
80,1.2023259398705843 
90,2.8112449799196786 
100,2.8112449799196786 
110,2.8112449799196786 
120,2.8112449799196786 
130,2.8112449799196786 
140,2.905811623246493 
150,2.905811623246493 
160,2.905811623246493 
170,2.905811623246493 
180,2.905811623246493 
190,4.3043043043043046 
200,4.3043043043043046 
210,4.3043043043043046 
220,4.3043043043043046 
230,4.3043043043043046 
240,4.3043043043043046 
250,4.3043043043043046 
254,4.3043043043043046 
