time,200,302 
0,18,16 
10,22,23 
20,32,31 
30,54,38 
40,74,48 
50,94,59 
60,108,64 
70,128,77 
80,148,87 
90,166,98 
100,207,117 
110,225,125 
120,314,209 
130,336,227 
140,345,232 
150,432,239 
160,450,243 
170,455,248 
180,461,254 
190,469,262 
200,477,270 
210,481,274 
220,517,310 
227,527,320 
