time,users_count,finish_users_count 
0,16,0 
10,23,0 
20,32,0 
30,39,7 
40,49,12 
50,59,16 
60,65,19 
70,78,23 
80,87,27 
90,98,28 
100,108,46 
110,114,51 
120,194,59 
130,207,65 
140,207,73 
150,207,119 
160,207,130 
170,207,135 
180,207,141 
190,207,149 
200,207,157 
210,207,161 
220,207,200 
227,207,207 
