time,recvpackets@tsung_controller@ip-172-31-16-50 
10,133 
20,133 
30,133 
40,133 
50,133 
60,142 
70,142 
80,231 
90,379 
100,379 
110,389 
120,389 
130,731 
140,731 
150,731 
160,731 
170,731 
180,731 
190,731 
200,731 
210,731 
220,731 
227,731 
