time,session 
0,45.651 
10,45.651 
20,45.651 
30,30041.506 
40,30042.796 
50,30046.394 
60,30048.873 
70,30048.873 
80,30051.896 
90,30129.597 
100,30129.597 
110,30129.597 
120,30129.597 
130,30129.597 
140,30129.597 
