time,users,connected 
0,77,69 
10,178,175 
20,279,274 
30,420,418 
40,506,503 
50,588,587 
60,726,682 
70,855,801 
80,936,887 
90,1035,953 
100,1163,1100 
110,1254,1189 
120,1388,1277 
130,1498,1407 
140,1538,1449 
150,1675,1557 
160,1757,1626 
170,1821,1704 
180,1867,1737 
190,1995,1835 
200,2086,1945 
210,2151,1977 
220,2243,2093 
230,2291,2135 
240,2388,2242 
250,2517,2322 
260,2663,2459 
270,2767,2564 
280,2910,2710 
290,3002,2781 
300,3077,2846 
310,3133,2895 
320,3215,2949 
330,2718,2494 
340,2164,1926 
350,1624,1369 
360,1192,957 
370,892,592 
380,643,386 
390,323,281 
400,46,46 
407,0,0 
