time,users_count,finish_users_count 
0,8.8,0 
10,10,0 
20,11.4,0 
30,13.6,1.9 
40,15.3,5.5 
50,14.1,4.7 
60,21.3,6.1 
70,20.9,7.6 
80,19.6,8.4 
90,23.4,10.9 
100,26.1,16.8 
110,25.7,16.9 
120,24.9,17 
130,31.8,19 
140,32,21.1 
150,29.5,19.8 
160,33.6,24 
170,35.2,26.4 
180,37.8,29.9 
190,36.3,27 
200,37.7,27.7 
210,44.4,34.6 
220,47.9,34.7 
230,46.9,32.4 
240,44.5,36 
250,48.6,40.4 
260,50.9,43.2 
270,52,42.5 
280,51,43 
290,53.6,46.1 
300,58.9,47.6 
310,59.1,52.3 
320,60.1,50.3 
330,7.2,48.1 
340,0,52.8 
350,0,52.7 
360,0,48.1 
370,0,31.7 
380,0,35.4 
390,0,29.6 
400,0,31 
410,0,10.4 
412,0,0.5 
