time,users,connected 
0,88,82 
10,188,104 
20,302,116 
30,419,116 
40,518,98 
50,611,88 
60,763,137 
70,896,130 
80,1009,-19 
90,1133,-6 
100,1226,-1 
110,1320,9 
120,1401,3 
130,1522,-21 
140,1633,8 
150,1727,11 
160,1829,-16 
170,1919,15 
180,1995,-3 
190,2085,-20 
200,2183,18 
210,2286,-8 
220,2414,14 
230,2563,-19 
240,2643,3 
250,2725,15 
260,2803,3 
270,2907,-24 
280,2994,24 
290,3057,-24 
300,3165,8 
310,3235,5 
320,3331,-4 
330,3343,-14 
340,3343,14 
350,3343,-75 
360,3343,-222 
370,3343,-27 
380,3343,-61 
390,3343,-112 
400,3343,-234 
410,3343,-106 
412,3343,-5 
