time,users,connected 
0,77,69 
10,178,106 
20,279,99 
30,421,144 
40,506,85 
50,588,84 
60,726,95 
70,855,119 
80,936,86 
90,1035,66 
100,1167,147 
110,1254,89 
120,1388,88 
130,1502,130 
140,1541,42 
150,1676,108 
160,1757,69 
170,1821,78 
180,1870,33 
190,1996,98 
200,2090,110 
210,2156,32 
220,2247,116 
230,2309,42 
240,2394,107 
250,2520,80 
260,2664,137 
270,2771,105 
280,2911,146 
290,3005,71 
300,3077,65 
310,3141,49 
320,3215,54 
330,3225,-455 
340,3225,-568 
350,3225,-557 
360,3225,-412 
370,3225,-365 
380,3225,-206 
390,3225,-105 
400,3225,-235 
407,3225,-46 
