time,200,500,302 
0,82,,69 
10,180,,175 
20,278,,274 
30,477,,427 
40,719,,559 
50,961,,697 
60,1315,,891 
70,1675,,1082 
80,2041,,1310 
90,2508,,1587 
100,3053,,1914 
110,3544,,2250 
120,4086,,2622 
130,4797,,2997 
140,5458,,3405 
150,6216,,3862 
160,6948,,4285 
170,7741,,4762 
180,8535,,5244 
190,9397,,5776 
200,10348,8,6316 
210,11267,11,6900 
220,12265,16,7475 
230,13224,26,8050 
240,14255,34,8680 
250,15356,44,9369 
260,16520,61,10034 
270,17635,164,10753 
280,18738,253,11474 
290,19734,657,12180 
300,20766,945,12860 
310,21708,1578,13549 
320,22732,2026,14245 
330,23609,2129,14576 
340,24346,2208,14855 
350,25080,2281,15110 
360,25553,2351,15362 
370,25763,2387,15662 
380,25995,2478,15908 
390,26229,2524,16231 
400,26270,2529,16511 
407,26270,2529,16557 
