time,200,500,302 
0,7.6,,8.3 
10,7.6,,8.7 
20,8.8,,9.6 
30,20.8,,14.2 
40,26.9,,15.5 
50,24.8,,15.4 
60,31.1,,16 
70,37.8,,18.8 
80,42.1,,26.5 
90,42.8,,28 
100,46.6,,27.4 
110,53.7,,33 
120,59.9,,36.9 
130,66.9,,37 
140,65.2,,36.3 
150,72.1,,43.8 
160,73.4,,45.4 
170,69.4,,47 
180,81.7,,47.7 
190,87.8,,51.2 
200,96.2,,57.7 
210,92,,58.9 
220,96.8,,58.5 
230,99.7,,61.4 
240,107.7,,64.4 
250,115,,66.7 
260,121,,70.4 
270,118.7,,69.8 
280,123.1,0.6,74.7 
290,125.7,0,73.8 
300,118.8,0.4,78.6 
310,112.8,2.3,71.5 
320,117.6,2.4,76.5 
330,127.1,0.8,46.6 
340,94.6,0.3,30.8 
350,85.4,0.1,27.7 
360,59.5,0.2,27.9 
370,26.3,0,25.7 
380,23,0.5,26.2 
390,24.6,0.5,23.5 
400,20.3,0,25.2 
