time,users_count,finish_users_count 
0,8.9,0 
10,8.6,0 
20,9.3,0 
30,14.4,1.7 
40,15.3,5.9 
50,15.5,4.8 
60,16.4,6 
70,19,6.5 
80,22.3,11.9 
90,24.1,10.6 
100,23,13.2 
110,25.8,17.9 
120,28.9,18 
130,29.2,21.7 
140,27.2,21.4 
150,34.1,23.6 
160,33.8,23.5 
170,34.7,26 
180,37.4,25 
190,38.5,30 
200,42.9,32 
210,42.7,33.9 
220,46.4,35.5 
230,45,35.9 
240,47.2,38.4 
250,50.7,39 
260,50.3,42.4 
270,52.2,43.4 
280,51.6,44.8 
290,53,45.9 
300,57.9,43.7 
310,61.6,39.7 
320,58.1,42.6 
330,9.3,53.9 
340,0,67.7 
350,0,57.2 
360,0,51 
370,0,25.5 
380,0,26.4 
390,0,23.3 
400,0,25.4 
