time,cpu@tsung_controller@ip-172-31-23-21 
0,1.5189926397168294 
10,1.5189926397168294 
20,1.5189926397168294 
30,1.5189926397168294 
40,1.5189926397168294 
50,1.5189926397168294 
60,1.5189926397168294 
70,1.5189926397168294 
80,1.8867924528301887 
90,2.095808383233533 
100,2.095808383233533 
110,2.095808383233533 
120,3.0632411067193677 
130,3.0632411067193677 
140,3.0632411067193677 
150,3.0632411067193677 
160,3.7848605577689245 
170,3.9 
180,4.39121756487026 
190,4.581673306772909 
200,6.317867719644619 
210,8.390918065153011 
220,8.390918065153011 
230,8.390918065153011 
240,8.69140625 
250,8.69140625 
260,8.69140625 
270,8.69140625 
280,8.69140625 
290,8.69140625 
300,8.69140625 
310,8.69140625 
320,8.69140625 
323,8.69140625 
