time,users,connected 
0,5,5 
10,15,15 
20,31,28 
30,48,48 
40,70,69 
50,92,92 
60,116,116 
70,141,140 
80,175,174 
90,227,225 
100,267,265 
110,321,320 
120,368,367 
130,403,401 
140,439,438 
150,480,479 
160,500,502 
170,453,454 
180,401,402 
190,340,340 
200,272,274 
210,253,253 
220,215,215 
230,198,201 
240,186,187 
250,156,158 
260,117,119 
270,58,58 
280,21,23 
284,0,0 
