time,cpu@tsung_controller@ip-172-31-27-7 
0,0.8815561875774435 
10,0.8815561875774435 
20,0.8815561875774435 
30,0.8815561875774435 
40,0.8815561875774435 
50,0.8815561875774435 
60,0.8815561875774435 
70,0.8815561875774435 
80,0.8815561875774435 
90,0.8815561875774435 
100,0.8815561875774435 
110,1.2048192771084338 
120,1.2048192771084338 
130,1.2048192771084338 
140,1.2072434607645874 
150,1.5120967741935485 
160,1.513622603430878 
170,1.5197568389057752 
180,2.131979695431472 
190,4.632426988922457 
200,4.632426988922457 
210,4.632426988922457 
220,4.632426988922457 
230,6.471183013144591 
240,6.471183013144591 
250,6.471183013144591 
260,6.580259222333002 
270,6.580259222333002 
280,6.580259222333002 
290,6.580259222333002 
294,6.580259222333002 
