time,connect,request 
0,2.761,17.88036842105264 
10,1.2751538461538463,17.15064285714286 
20,1.3288181818181821,16.913230769230776 
30,1.2452142857142856,17.148866666666663 
40,1.3456,19.414999999999996 
50,1.229142857142857,18.256764705882354 
60,1.602294117647059,17.818765957446818 
70,1.167133333333333,17.259384615384608 
80,1.1522258064516135,17.543240506329116 
90,1.1188333333333333,17.853848837209306 
100,1.283189189189189,17.40532323232322 
110,1.1643888888888887,16.956237113402075 
120,1.3572727272727272,17.338762820512827 
130,1.289829268292683,18.314941666666666 
140,1.1975641025641028,18.74697247706421 
150,1.1138888888888887,17.455808823529413 
160,1.3411428571428572,19.129547169811318 
170,1.1876190476190476,17.67128048780488 
180,1.7017333333333333,30.97100000000001 
190,1.4028125,15.99964285714286 
200,1.2857222222222224,14.402166666666666 
210,1.3576666666666666,14.479791666666669 
220,1.2982121212121216,14.24698484848485 
230,1.344869565217391,14.064826086956518 
240,1.8275882352941177,14.689029411764707 
250,1.1768799999999997,10.813380000000004 
258,1.35425,10.568 
