time,users_count,finish_users_count 
0,103,0 
10,194,0 
20,299,0 
30,440,24 
40,567,68 
50,713,123 
60,893,185 
70,1089,257 
80,1293,378 
90,1524,512 
100,1803,629 
110,2022,803 
120,2312,986 
130,2625,1183 
140,2939,1406 
150,3246,1633 
160,3598,1903 
170,3962,2143 
180,4356,2423 
190,4757,2711 
200,5160,2992 
210,5586,3319 
220,6024,3677 
230,6475,4019 
240,6946,4382 
250,7421,4778 
260,7893,5170 
270,8414,5617 
280,8934,6035 
290,9471,6476 
300,10065,6910 
310,10664,7402 
320,11227,7887 
330,11296,8441 
340,11296,9028 
350,11296,9578 
360,11296,10010 
370,11296,10299 
380,11296,10597 
390,11296,10905 
400,11296,11182 
407,11296,11296 
