time,users,connected 
0,9,7 
10,16,8 
20,39,24 
30,52,13 
40,68,15 
50,98,26 
60,125,30 
70,151,28 
80,154,0 
90,177,24 
100,203,27 
110,214,4 
120,243,37 
130,263,17 
140,302,39 
150,337,36 
160,351,-27 
170,351,-55 
180,351,-48 
190,351,-46 
200,351,-61 
210,351,-80 
213,351,-18 
