time,cpu@tsung_controller@ip-172-31-23-21 
0,1.5186743160928784 
10,0.3003003003003003 
20,0.6024096385542169 
30,0.5994005994005994 
40,0.7014028056112225 
50,1.2036108324974923 
60,1.5045135406218655 
70,2.002002002002002 
80,1.9019019019019021 
90,3.5856573705179287 
100,3.48605577689243 
110,3.726082578046324 
120,6.030150753768844 
130,5.460060667340748 
140,4.7283702213279675 
150,6.458123107971746 
160,6.802030456852792 
170,8.140703517587939 
180,8.241206030150753 
190,8.206686930091186 
200,8.080808080808081 
210,8.240081383519836 
220,8.119218910585817 
230,9.703779366700715 
240,8.135942327497425 
250,9.164149043303121 
260,7.08502024291498 
270,8.450704225352112 
280,7.64525993883792 
290,7.250755287009064 
300,7.2434607645875255 
310,7.422266800401204 
320,5.870445344129554 
330,5.622489959839357 
340,6.093906093906094 
342,4.112337011033099 
