time,page 
0,37.69082894736841 
10,34.08107339449543 
20,33.13257777777779 
30,28.571793296089375 
40,26.746428571428556 
50,32.159088235294114 
60,28.790782051282065 
70,34.625541554959774 
80,25.604800000000026 
90,25.77415924657534 
100,25.211282142857115 
110,23.679168141592903 
120,58.511403426791304 
130,27.388077852348985 
140,27.815212389380584 
150,28.077254641909814 
160,29.664903892944004 
170,30.948490770901252 
180,33.44545999999999 
190,32.03113785557992 
200,35.15503729838715 
210,39.98822173531987 
220,43.547398100172686 
230,37.70172568807335 
240,51.43566024096391 
250,73.69219804216874 
260,57.532581723625434 
270,60.79234750733136 
280,149.232104588394 
290,246.5352763157892 
300,376.54409517335176 
310,1301.163959468435 
320,1508.2843711894775 
330,995.5885345588248 
340,34.97427507163319 
350,31.085086802480106 
360,26.909654525386287 
370,15.814653919694077 
380,13.444491262135926 
390,12.871453531598503 
400,11.253588832487312 
407,8.801771653543307 
