time,connect,request 
0,0.869,10.273 
10,0.848,9.851 
20,0.848,9.851 
30,0.796,7.351 
40,0.796,6.833 
50,0.796,6.833 
60,0.796,6.181 
70,0.796,6.181 
80,0.74,6.181 
90,0.74,6.057 
100,0.74,6.057 
110,0.74,5.971 
120,0.74,5.971 
130,0.74,5.971 
140,0.74,5.971 
150,0.74,5.971 
160,0.74,5.971 
170,0.74,5.971 
180,0.74,5.756 
190,0.74,5.756 
200,0.74,5.756 
210,0.708,5.756 
220,0.708,5.756 
230,0.708,5.756 
240,0.708,5.756 
250,0.708,5.756 
260,0.708,5.756 
270,0.685,5.756 
280,0.685,5.756 
290,0.685,5.756 
300,0.685,5.756 
310,0.685,0.499 
320,0.678,0.499 
330,0.678,0.499 
340,0.678,0.499 
350,0.678,0.499 
360,0.678,0.499 
370,0.678,0.499 
380,0.678,0.499 
390,0.678,0.499 
400,0.678,0.499 
407,0.678,0.499 
