time,users,connected 
0,78,76 
10,189,109 
20,280,91 
30,384,104 
40,488,103 
50,604,115 
60,748,130 
70,882,126 
80,953,73 
90,1077,108 
100,1215,141 
110,1280,58 
120,1318,12 
130,1375,81 
140,1430,43 
150,1572,131 
160,1628,52 
170,1728,120 
180,1837,111 
190,1953,96 
200,2066,108 
210,2152,81 
220,2284,142 
230,2412,120 
240,2539,67 
250,2667,116 
260,2741,17 
270,2809,54 
280,2912,82 
290,3050,88 
300,3092,43 
310,3238,18 
320,3315,40 
330,3316,-393 
340,3316,-480 
350,3316,-429 
360,3316,-495 
370,3316,-274 
380,3316,-243 
390,3316,-275 
400,3316,-140 
407,3316,-127 
