time,users_count,finish_users_count 
0,8.6,0 
10,10.6,0 
20,10.3,0 
30,15.8,1.9 
40,15.2,4.8 
50,14.7,5.4 
60,14.8,6.2 
70,18.9,6.8 
80,18,12 
90,22.4,12.5 
100,24.1,14.9 
110,23.3,17.5 
120,30,16.4 
130,28.6,19.9 
140,30.3,19.5 
150,31.6,20.6 
160,36.6,24.2 
170,36.5,27.1 
180,39.9,27.1 
190,38.7,27.4 
200,37.3,33.2 
210,41.6,28.7 
220,45,32.5 
230,42.9,31.7 
240,48.6,36.5 
250,50.1,40.2 
260,48.4,40.7 
270,51.7,42.6 
280,54.5,43.1 
290,53.3,42.5 
300,61.6,45.3 
310,52.8,49.8 
320,59.4,51.6 
330,6.3,54.8 
340,0,60.3 
350,0,51.3 
360,0,46.9 
370,0,26.6 
380,0,30.5 
390,0,27.1 
400,0,30.9 
410,0,11.3 
