time,users_count,finish_users_count 
0,86,0 
10,192,0 
20,295,0 
30,453,19 
40,605,67 
50,752,121 
60,900,183 
70,1089,251 
80,1269,371 
90,1493,496 
100,1734,645 
110,1967,820 
120,2267,984 
130,2553,1183 
140,2856,1378 
150,3172,1584 
160,3538,1826 
170,3903,2097 
180,4302,2368 
190,4689,2642 
200,5062,2974 
210,5478,3261 
220,5928,3586 
230,6357,3903 
240,6843,4268 
250,7344,4670 
260,7828,5077 
270,8345,5503 
280,8890,5934 
290,9423,6359 
300,10039,6812 
310,10567,7310 
320,11161,7826 
330,11224,8374 
340,11224,8977 
350,11224,9490 
360,11224,9959 
370,11224,10225 
380,11224,10530 
390,11224,10801 
400,11224,11110 
410,11224,11223 
