time,users,connected 
0,86,83 
10,192,188 
20,295,292 
30,434,430 
40,538,539 
50,631,628 
60,717,700 
70,838,807 
80,898,873 
90,997,957 
100,1089,1051 
110,1147,1111 
120,1283,1254 
130,1370,1314 
140,1478,1440 
150,1588,1531 
160,1712,1637 
170,1806,1749 
180,1934,1770 
190,2047,1815 
200,2088,1793 
210,2217,1795 
220,2342,1763 
230,2454,1818 
240,2575,1819 
250,2674,1756 
260,2751,1815 
270,2842,1812 
280,2956,1799 
290,3064,1814 
300,3227,1831 
310,3257,1800 
320,3335,1822 
330,2850,1678 
340,2247,1457 
350,1734,1181 
360,1265,891 
370,999,833 
380,694,550 
390,423,313 
400,114,116 
410,1,1 
