time,users,connected 
0,95,90 
10,206,112 
20,302,100 
30,403,98 
40,505,100 
50,585,82 
60,723,122 
70,841,103 
80,905,72 
90,1048,135 
100,1151,99 
110,1207,53 
120,1303,91 
130,1384,79 
140,1459,75 
150,1553,89 
160,1644,76 
170,1723,88 
180,1832,104 
190,1947,105 
200,2028,90 
210,2147,88 
220,2240,101 
230,2329,82 
240,2486,156 
250,2591,59 
260,2681,58 
270,2824,56 
280,2962,67 
290,3076,106 
300,3236,-69 
310,3375,104 
320,3393,36 
330,3393,-420 
340,3393,-536 
350,3393,-465 
360,3393,-349 
370,3393,-284 
380,3393,-249 
390,3393,-210 
400,3393,-196 
405,3393,-98 
