time,200,500,302 
0,76,,83 
10,152,,170 
20,240,,266 
30,448,,408 
40,717,,563 
50,965,,717 
60,1276,,877 
70,1654,,1065 
80,2075,,1330 
90,2503,,1610 
100,2969,,1884 
110,3506,,2214 
120,4105,,2583 
130,4774,,2953 
140,5426,,3316 
150,6147,,3754 
160,6881,,4208 
170,7575,,4678 
180,8392,,5155 
190,9270,,5667 
200,10232,,6244 
210,11152,,6833 
220,12120,,7418 
230,13117,,8032 
240,14194,,8676 
250,15344,,9343 
260,16554,,10047 
270,17741,,10745 
280,18972,6,11492 
290,20229,6,12230 
300,21417,10,13016 
310,22545,33,13731 
320,23721,57,14496 
330,24992,65,14962 
340,25938,68,15270 
350,26792,69,15547 
360,27387,71,15826 
370,27650,71,16083 
380,27880,76,16345 
390,28126,81,16580 
400,28329,81,16832 
