time,connect,request 
0,23.63165461494391,42.95340730347705 
10,0.10758264121761489,7.656885106157 
20,0.2740548470135087,4.7636999765852925 
30,1.8059143141356404,86.78984378114643 
40,0.13785236342580198,128.5899927101001 
50,0.1984409725632203,91.50077680494236 
60,4.986566155849801,125.97823572132286 
70,0.25676612173306906,127.61997116473806 
80,4.343764852393896,128.39972443640022 
90,1.0447288470471925,150.91492031328846 
100,0.16786068146792896,149.86248943428032 
110,0.2977696885006164,193.8763116471071 
120,1.2425700998961056,211.6579451113387 
130,0.4322999025934575,199.2023507705641 
140,0.16302133105320296,196.1455327290118 
150,0.2529312466070652,248.59012291902536 
160,0.7801827774342284,561.6437136045129 
170,0.23252836137551305,1088.595790811103 
180,1.021249552024606,1407.4444335196263 
190,0.26721733091073674,1560.3490784646156 
200,0.14293220724309902,1378.6582115438332 
210,0.4248437946048893,1395.1026722790928 
220,0.2705303273113065,1448.3677078142607 
230,0.7206120063563591,1524.091644508893 
240,1.3170086618912857,1524.3584633789294 
250,0.23605613662242012,1879.1583253687306 
260,0.8421532879417315,1855.4680614070462 
270,0.7019599030887617,2119.980909934811 
280,0.7935513139285522,2549.0330911722126 
290,0.8593779387440663,2409.8595946694045 
300,1.5856176181210893,2075.0903584027787 
310,0.35670766269064397,2392.7472566033653 
