time,cpu@tsung_controller@ip-172-31-23-21 
0,1.6401250263507867 
10,1.6401250263507867 
20,1.6401250263507867 
30,1.6401250263507867 
40,1.6401250263507867 
50,1.6401250263507867 
60,1.6401250263507867 
70,1.6401250263507867 
80,1.6401250263507867 
90,5.8999999999999995 
100,5.8999999999999995 
110,5.8999999999999995 
120,5.8999999999999995 
130,5.8999999999999995 
140,5.8999999999999995 
150,5.8999999999999995 
160,5.8999999999999995 
170,5.8999999999999995 
180,5.8999999999999995 
190,5.8999999999999995 
200,5.8999999999999995 
210,5.8999999999999995 
220,5.8999999999999995 
230,5.8999999999999995 
240,5.8999999999999995 
250,6.2248995983935735 
260,6.2248995983935735 
270,6.2248995983935735 
280,6.2248995983935735 
290,6.2248995983935735 
300,6.2248995983935735 
310,6.2248995983935735 
