time,users,connected 
0,106,101 
10,199,195 
20,302,301 
30,411,409 
40,522,520 
50,630,628 
60,786,747 
70,894,868 
80,939,914 
90,1065,1032 
100,1146,1117 
110,1253,1195 
120,1369,1304 
130,1437,1309 
140,1537,1321 
150,1654,1373 
160,1704,1346 
170,1784,1378 
180,1929,1439 
190,2018,1483 
200,2084,1535 
210,2201,1523 
220,2277,1561 
230,2386,1597 
240,2485,1657 
250,2639,1726 
260,2672,1788 
270,2736,1811 
280,2875,1839 
290,3031,1846 
300,3096,1860 
310,3263,1949 
320,3375,1844 
330,2788,1645 
340,2150,1328 
350,1633,1154 
360,1159,858 
370,910,694 
380,660,535 
390,440,305 
