time,users_count,finish_users_count 
0,7.8,0 
10,11.1,0 
20,9.1,0 
30,12.2,1.9 
40,15.6,5.1 
50,15.5,3.9 
60,19.7,5.4 
70,19.8,6.4 
80,18.7,11.9 
90,28.3,15.5 
100,26.6,13.1 
110,22.4,17 
120,23.7,19.3 
130,27.9,21.5 
140,30.8,25.3 
150,34.2,19.9 
160,30,24.5 
170,37.2,27.2 
180,39.4,28.4 
190,38.1,26.5 
200,38.5,27.3 
210,43.8,35.6 
220,47,33.3 
230,46.8,34.1 
240,49.6,36.9 
250,51.1,38.2 
260,49,42.2 
270,50.5,43.2 
280,55.7,45.5 
290,58.9,46 
300,53.6,48.4 
310,60.2,46.5 
320,58.8,51.3 
330,7.6,60.1 
340,0,53.1 
350,0,53 
360,0,53.5 
370,0,27.8 
380,0,24.4 
390,0,27.2 
400,0,26.6 
407,0,12.2 
