time,502,200,500,302 
100,291,2669,3,1767 
110,605,2972,11,1927 
120,939,3282,20,2179 
130,1323,3605,47,2403 
140,1734,3907,91,2652 
150,2133,4242,125,2916 
160,2726,4551,168,3150 
170,3390,4814,227,3413 
180,4048,5108,301,3646 
190,4829,5344,384,3919 
200,5697,5592,467,4184 
210,6568,5866,547,4466 
220,7606,6125,628,4714 
230,8617,6387,712,4971 
240,9586,6614,829,5235 
250,10634,6851,938,5515 
260,11952,7076,1065,5773 
270,13297,7301,1184,6004 
280,14695,7518,1277,6256 
290,16085,7754,1404,6503 
300,17533,8015,1516,6778 
310,19030,8254,1639,7074 
320,20435,8522,1748,7326 
330,21031,8785,1926,7501 
340,21494,9042,2118,7658 
350,22028,9302,2323,7809 
360,22247,9577,2485,8004 
370,22247,9727,2735,8285 
380,22247,9803,2950,8646 
390,22247,9881,3123,8938 
400,22247,9939,3167,9188 
410,22247,9939,3167,9290 
420,22247,9939,3167,9290 
430,22247,9939,3167,9290 
440,22247,9939,3167,9290 
450,22247,9939,3167,9290 
460,22247,9939,3167,9290 
467,22247,9939,3167,9290 
