time,502,200,500,302 
100,29.1,33.2,0.3,20.4 
110,31.4,30.3,0.8,16 
120,33.4,31,0.9,25.2 
130,38.4,32.3,2.7,22.4 
140,41.1,30.2,4.4,24.9 
150,39.9,33.5,3.4,26.4 
160,59.3,30.9,4.3,23.4 
170,66.4,26.3,5.9,26.3 
180,65.8,29.4,7.4,23.3 
190,78.1,23.6,8.3,27.3 
200,86.8,24.8,8.3,26.5 
210,87.1,27.4,8,28.2 
220,103.8,25.9,8.1,24.8 
230,101.1,26.2,8.4,25.7 
240,96.9,22.7,11.7,26.4 
250,104.8,23.7,10.9,28 
260,131.8,22.5,12.7,25.8 
270,134.5,22.5,11.9,23.1 
280,139.8,21.7,9.3,25.2 
290,139,23.6,12.7,24.7 
300,144.8,26.1,11.2,27.5 
310,149.7,23.9,12.3,29.6 
320,140.5,26.8,10.9,25.2 
330,59.6,26.3,17.8,17.5 
340,46.3,25.7,19.2,15.7 
350,53.4,26,20.5,15.1 
360,21.9,27.5,16.2,19.5 
370,0,15,25,28.1 
380,0,7.6,21.5,36.1 
390,0,7.8,17.3,29.2 
400,0,5.8,4.4,25 
410,0,0,0,10.2 
420,0,0,0,0 
430,0,0,0,0 
440,0,0,0,0 
450,0,0,0,0 
460,0,0,0,0 
467,0,0,0,0 
