time,users,connected 
0,90,88 
10,188,182 
20,287,286 
30,435,427 
40,541,535 
50,641,642 
60,732,705 
70,883,858 
80,985,864 
90,1124,833 
100,1250,854 
110,1357,834 
120,1447,842 
130,1512,828 
140,1612,837 
150,1783,838 
160,1902,854 
170,2005,848 
180,2086,853 
190,2130,832 
200,2161,840 
210,2296,844 
220,2372,852 
230,2475,853 
240,2595,842 
250,2684,845 
260,2739,834 
270,2867,837 
280,2929,835 
290,2971,847 
300,3131,833 
310,3204,858 
320,3300,856 
330,2929,846 
340,2466,836 
350,1933,797 
360,1445,558 
370,1113,532 
380,741,461 
390,443,363 
400,121,126 
410,0,0 
