time,users_count,finish_users_count 
0,90,0 
10,188,0 
20,287,0 
30,450,15 
40,596,55 
50,750,109 
60,903,171 
70,1116,233 
80,1318,333 
90,1570,446 
100,1826,576 
110,2090,733 
120,2356,909 
130,2634,1122 
140,2946,1334 
150,3308,1525 
160,3651,1749 
170,4000,1995 
180,4376,2290 
190,4746,2616 
200,5113,2952 
210,5571,3275 
220,5995,3623 
230,6447,3972 
240,6912,4317 
250,7393,4709 
260,7872,5133 
270,8408,5541 
280,8925,5996 
290,9442,6471 
300,10045,6914 
310,10596,7392 
320,11218,7918 
330,11306,8377 
340,11306,8840 
350,11306,9373 
360,11306,9861 
370,11306,10193 
380,11306,10565 
390,11306,10863 
400,11306,11185 
410,11306,11306 
