time,users_count,finish_users_count 
0,9.5,0 
10,10.4,0 
20,10.3,0 
30,13.4,2.1 
40,12.4,5.9 
50,15.2,5.9 
60,18.3,5.2 
70,18.5,6.6 
80,18.6,11.8 
90,24.4,13.7 
100,24.1,14.4 
110,26.2,16.6 
120,29.4,17.9 
130,28.6,17.2 
140,29.3,23.1 
150,31.8,24.1 
160,35.3,21.4 
170,36.4,28 
180,39.3,27.7 
190,37.9,30.5 
200,40.9,34 
210,41.3,32.1 
220,45.1,32.1 
230,46.3,32.8 
240,45.6,35.1 
250,50.1,37.5 
260,48,41.3 
270,54.3,40.2 
280,56.3,43.6 
290,57.7,42.6 
300,55.1,46.8 
310,57.4,50.1 
320,61.6,51.2 
330,7,52.5 
340,0,58.1 
350,0,55.6 
360,0,53 
370,0,28.6 
380,0,28.1 
390,0,28.4 
400,0,29.1 
407,0,11.1 
