time,size_sent,size_rcv 
0,75.8484375,75.83125 
10,90.9859375,91.50625 
20,92.7171875,93.225 
30,165.75,174.796875 
40,193.5703125,197.609375 
50,212.0796875,213.91953125 
60,262.39921875,271.54765625 
70,305.26875,337.68125 
80,352.67734375,365.440625 
90,438.509375,443.45546875 
100,467.29765625,482.49765625 
110,477.04296875,480.64609375 
120,564.51171875,579.503125 
130,554.92734375,584.47421875 
140,620.5796875,621.1984375 
150,658.1390625,660.95078125 
160,681.83671875,718.425 
170,765.81484375,775.70546875 
180,822.32109375,821.53203125 
190,869.06875,916.53359375 
200,905.2015625,902.89609375 
210,876.8046875,883.51640625 
220,919.6109375,953.6765625 
230,977.871875,954.59453125 
240,961.3796875,974.82265625 
250,1074.48515625,1036.16328125 
260,1075.0546875,1036.36875 
270,1107.89296875,1064.88671875 
280,1114.30546875,1028.94375 
290,1149.1578125,1102.3625 
300,1178.27421875,1120.1765625 
310,1176.30859375,1123.4046875 
320,1186.81875,1122.38828125 
330,834.97734375,1096.66953125 
340,792.25234375,934.37265625 
350,792.23203125,1004.92265625 
360,616.265625,663.25625 
370,395.35234375,324.403125 
380,385.62109375,245.9109375 
390,389.6109375,302.2171875 
400,285.2484375,105.4953125 
407,88.846875,11.859375 
