time,sentpackets@tsung_controller@ip-172-31-31-18 
10,803 
20,738.0 
30,815.0 
40,1501.0 
50,1859.0 
60,1918.0 
70,2240.0 
80,2826.0 
90,2773.0 
100,3334.0 
110,3985.0 
120,3973.0 
130,4588.0 
140,4797.0 
150,4685.0 
160,5027.0 
170,5250.0 
180,5640.0 
190,6240.0 
200,6282.0 
210,6367.0 
220,7455.0 
230,6882.0 
240,7705.0 
250,7942.0 
260,8447.0 
270,8564.0 
280,9142.0 
290,9258.0 
300,9313.0 
310,9889.0 
320,9991.0 
330,10598.0 
340,6071.0 
350,5236.0 
360,5337.0 
370,3962.0 
380,3468.0 
390,3583.0 
400,3460.0 
410,1990.0 
