time,recvpackets@tsung_controller@ip-172-31-31-18 
10,773 
20,712.0 
30,793.0 
40,1435.0 
50,1689.0 
60,1693.0 
70,2193.0 
80,2725.0 
90,2841.0 
100,3377.0 
110,3926.0 
120,3956.0 
130,4447.0 
140,4550.0 
150,4421.0 
160,4829.0 
170,4946.0 
180,5267.0 
190,5749.0 
200,5644.0 
210,5753.0 
220,6732.0 
230,6248.0 
240,7115.0 
250,7296.0 
260,7655.0 
270,7729.0 
280,8203.0 
290,8360.0 
300,8.3e3 
310,8936.0 
320,8928.0 
330,9489.0 
340,5157.0 
350,4304.0 
360,4245.0 
370,3222.0 
380,2859.0 
390,2897.0 
400,2889.0 
410,1464.0 
