time,502,200,500,302 
220,62,11862,,7260 
230,148,12688,6,7769 
240,449,13549,11,8337 
250,835,14404,16,8922 
260,1259,15237,39,9466 
270,1641,16046,77,10062 
280,2183,16855,124,10610 
290,2645,17661,179,11203 
300,3366,18498,246,11751 
310,3966,19311,323,12338 
320,4761,20113,395,12936 
330,4843,20974,552,13334 
340,4843,21717,669,13591 
350,4843,22374,837,13836 
360,4843,22844,898,14098 
370,4843,23065,981,14361 
380,4843,23274,1049,14666 
390,4843,23492,1139,14943 
400,4843,23597,1149,15250 
410,4843,23597,1149,15365 
