time,users,connected 
0,105,97 
10,213,109 
20,302,96 
30,385,77 
40,467,81 
50,562,98 
60,697,119 
70,829,118 
80,923,98 
90,1024,107 
100,1133,90 
110,1260,133 
120,1333,62 
130,1418,91 
140,1496,59 
150,1637,139 
160,1757,112 
170,1855,89 
180,1905,76 
190,1966,46 
200,2044,63 
210,2192,132 
220,2259,67 
230,2314,57 
240,2467,152 
250,2548,23 
260,2661,101 
270,2762,66 
280,2873,88 
290,2946,15 
300,3081,72 
310,3211,-33 
320,3305,25 
330,3311,-295 
340,3311,-502 
350,3311,-449 
360,3311,-412 
370,3311,-268 
