time,502,200,500,302 
320,11,124.4,0.3,76.1 
330,3,114.5,0,39.1 
340,0,82.4,0,30.3 
350,0,83.3,1.9,25.6 
360,0,55.9,0.1,28.5 
370,0,26.3,0,28.1 
