time,502,200,500,302 
110,7.9,11.6,,5.3 
120,12.3,11.9,,4.4 
130,35.7,5.6,,1.5 
140,24.7,11.5,,3.9 
150,33.6,7.8,0.1,3.2 
160,37.2,10.5,0.9,4.7 
170,48.5,9.2,0.7,5.5 
180,54.6,11.6,1.4,5.4 
190,75.2,8.1,0.9,5.2 
200,82.2,10.1,0.9,4.6 
210,106.7,6.2,0.8,3.8 
220,111.8,9.9,1.6,4.6 
230,123.9,5,1.4,3.2 
240,128.5,5.8,0.4,2.7 
250,109.7,6.2,0.9,3.7 
260,110.9,6.2,1.5,2.4 
270,113.7,5.2,1.1,2.1 
280,60.4,3.6,1.1,2.4 
290,69.8,4.5,1,2.4 
300,76.1,3.1,1,3.9 
310,70.2,3.2,0.8,3 
320,29.2,3.2,1.1,3.4 
330,4.8,3.2,0.2,3.4 
340,0,3.8,0,3.2 
