time,connect,request 
0,9,18.2 
10,11.2,21.6 
20,10,19.6 
30,11.7,29.6 
40,15.8,40.5 
50,14.4,41.3 
60,18.2,46.7 
70,24.3,61.2 
80,24.6,62.2 
90,31.3,78.7 
100,30.6,79.8 
110,29.5,77.5 
120,35.1,95.2 
130,37.9,97.6 
140,37.9,98.3 
150,41.8,110.7 
160,45.8,115.6 
170,47.3,123.9 
180,49.2,131.9 
190,52.8,133.7 
200,54.4,144.8 
210,53.6,143.7 
220,59.9,159.6 
230,59.2,157.9 
240,69.7,182.9 
250,70.2,186.1 
260,66.1,178.3 
270,75.9,191.1 
280,80.5,204.3 
290,76.7,198.3 
300,83,195.8 
310,89.5,212.3 
320,91.8,227.2 
330,30.9,144.9 
340,25.9,120.8 
350,27.8,113.9 
360,26.7,75.8 
370,22.4,49.3 
380,26,48.6 
390,29.4,55.4 
400,9.8,39.2 
405,0,9.8 
